First Full Path,First Optimal Path,Convergence Iteration,Iterations per Second,Total Time
29.64,30.85,33.38,13.29,3.51
70.12,70.21,70.37,4.07,7.85
1.0,1.0,2.0,8.22,0.11
1.0,2.0,4.0,9.15,0.27
2.0,3.0,6.5,14.5,0.44
11.0,12.0,14.75,16.67,1.54
336.0,338.0,340.0,28.57,38.22
