Best Generation,Best Score,Best Secondary Score,Generations per Second,Total Time
21.42,0.5,23.0,46.41,6.75
23.28,0.71,4.6,15.02,9.14
1.0,0.0,20.0,26.67,0.07
5.5,0.0,20.0,31.96,0.22
13.0,0.0,20.0,48.15,0.5
27.75,1.41,26.0,50.28,17.23
68.0,1.58,32.0,86.67,23.04
