Simulation,GA Best Generation,GA Final Best Score,GA Final Best Secondary Score,GA Total Time,ACO First Full Path,ACO First Optimal Path,ACO Convergence Iteration,ACO Total Time,ACO Iterations Per Second,Total Time
165.09,17.14,3.08,22.49,0.37,2.06,3.05,23.89,1.45,18.24,1.83
91.33,9.87,0.62,7.49,0.08,2.73,3.17,68.8,4.3,5.95,4.3
1.0,9.0,2.24,12.0,0.22,1.0,1.0,2.0,0.07,10.14,0.29
88.5,12.0,2.24,12.0,0.34,1.0,1.0,4.0,0.24,14.76,0.62
164.0,12.0,3.16,21.0,0.39,1.0,2.0,7.0,0.41,16.23,0.81
244.5,33.0,3.16,30.0,0.44,2.0,3.0,13.0,0.76,20.78,1.15
320.0,33.0,4.0,30.0,0.46,23.0,24.0,667.0,42.06,44.44,42.46
